simulation_id,email_id,provider_id,company,segment,variant,value_proposition,subject,expected_action,reply_sentiment
NEKX-SIM-025,25,76d1a9cb-eea7-4980-848f-692b1e733939,Kaashandel van der Leij,premium_fine_dining,A,loss_framing,[NEKX-SIM-025] Loss Framing idea for Kaashandel van der Leij,open_only,
NEKX-SIM-026,26,c0f2245c-df8b-4076-9326-d8c60e842a44,Kruidenier Wolters,premium_fine_dining,A,loss_framing,[NEKX-SIM-026] Loss Framing idea for Kruidenier Wolters,open_only,
NEKX-SIM-027,27,9502186f-6fec-484c-b444-fbbd9f78c122,De Kaaskop,premium_fine_dining,A,loss_framing,[NEKX-SIM-027] Loss Framing idea for De Kaaskop,open_only,
NEKX-SIM-028,28,57414969-84e1-4863-8670-7e903aa81c8a,Rabenhaupt,premium_fine_dining,A,loss_framing,[NEKX-SIM-028] Loss Framing idea for Rabenhaupt,open_only,
NEKX-SIM-029,29,c05236ba-bf1a-4fa9-b901-eade6a0beab6,Café Wolthoorn & Co,premium_fine_dining,A,loss_framing,[NEKX-SIM-029] Loss Framing idea for Café Wolthoorn & Co,open_only,
NEKX-SIM-030,30,17cb60ed-eb03-423f-8878-87593457587d,Brasserie Prinsenhof,premium_fine_dining,A,loss_framing,[NEKX-SIM-030] Loss Framing idea for Brasserie Prinsenhof,sent_only,
NEKX-SIM-031,31,800e82a9-c141-4492-85da-8a70f88ec29a,Sam's Coffee,premium_fine_dining,A,loss_framing,[NEKX-SIM-031] Loss Framing idea for Sam's Coffee,sent_only,
NEKX-SIM-032,32,fc3f1e63-96a3-49b2-aaf9-49a9f00bfbf1,Café Lily,premium_fine_dining,A,loss_framing,[NEKX-SIM-032] Loss Framing idea for Café Lily,sent_only,
NEKX-SIM-033,33,bf9bef8b-83b0-4853-a07c-d58c3a01241c,Stadscafé Pronk,premium_fine_dining,B,growth_framing,[NEKX-SIM-033] Growth Framing idea for Stadscafé Pronk,open_and_reply_not_interested,not_interested
NEKX-SIM-034,34,a05b941b-2b4d-4e79-9070-0ec1eab09649,Feithhuis,premium_fine_dining,B,growth_framing,[NEKX-SIM-034] Growth Framing idea for Feithhuis,open_only,
NEKX-SIM-035,35,bc83e0b7-aa54-46d5-9e83-cfd7748e89cb,Het Concerthuis,premium_fine_dining,B,growth_framing,[NEKX-SIM-035] Growth Framing idea for Het Concerthuis,open_only,
NEKX-SIM-036,36,54fb0b48-7d74-448d-8643-bc4b7869693d,Bar Frans,premium_fine_dining,B,growth_framing,[NEKX-SIM-036] Growth Framing idea for Bar Frans,open_only,
NEKX-SIM-037,37,eff21868-d641-44cb-88b8-f6107ba7862b,CICCI'S,premium_fine_dining,B,growth_framing,[NEKX-SIM-037] Growth Framing idea for CICCI'S,open_only,
NEKX-SIM-038,38,65010a0b-dd66-4a83-8ce2-0c4866bc9145,Magoya,premium_fine_dining,B,growth_framing,[NEKX-SIM-038] Growth Framing idea for Magoya,sent_only,
NEKX-SIM-039,39,8c5689e3-ab10-4e34-8111-ce19992b4d77,Restaurant Noor,premium_fine_dining,B,growth_framing,[NEKX-SIM-039] Growth Framing idea for Restaurant Noor,sent_only,
NEKX-SIM-040,40,f6550e40-91e8-43c0-b561-57f6fe6db2fd,Bellami's,premium_fine_dining,B,growth_framing,[NEKX-SIM-040] Growth Framing idea for Bellami's,sent_only,
NEKX-SIM-041,41,1f594c9d-f3f7-4582-9f51-baf38b8e4987,CHCO Groningen,premium_fine_dining,B,growth_framing,[NEKX-SIM-041] Growth Framing idea for CHCO Groningen,sent_only,
NEKX-SIM-042,42,d64a85a3-916b-4f9e-8bdf-3f470717d4e7,Café de Minnaar,premium_fine_dining,B,growth_framing,[NEKX-SIM-042] Growth Framing idea for Café de Minnaar,sent_only,
NEKX-SIM-043,43,356c25a4-d5d3-4959-bf3c-201770268892,Café de Toeter,premium_fine_dining,B,growth_framing,[NEKX-SIM-043] Growth Framing idea for Café de Toeter,sent_only,
NEKX-SIM-044,44,f70b8194-26ca-4e59-bb59-a9a2f7886b5e,Lunch & LavAzza,independent_local,A,convenience,[NEKX-SIM-044] Convenience idea for Lunch & LavAzza,open_and_reply_positive,positive
NEKX-SIM-045,45,38a07c44-cb26-4a94-86dd-6cfc2e70f2fa,Black & Bloom,independent_local,A,convenience,[NEKX-SIM-045] Convenience idea for Black & Bloom,open_and_reply_not_interested,not_interested
NEKX-SIM-046,46,078d9f78-dd84-42fd-b3ad-e47942c7e3c1,Zondag Noorderplantsoen,independent_local,A,convenience,[NEKX-SIM-046] Convenience idea for Zondag Noorderplantsoen,open_only,
NEKX-SIM-047,47,352b1424-3583-4de0-816a-78d1603319fe,Restaurant Naud,independent_local,A,convenience,[NEKX-SIM-047] Convenience idea for Restaurant Naud,open_only,
NEKX-SIM-048,48,10d219b3-18d2-46c0-8ef7-f562e6fdf777,'t Zwarte Schaap,independent_local,A,convenience,[NEKX-SIM-048] Convenience idea for 't Zwarte Schaap,open_only,
NEKX-SIM-049,49,9412879c-5168-4767-bc11-a94090744e33,Graansilo Eten & Drinken,independent_local,A,convenience,[NEKX-SIM-049] Convenience idea for Graansilo Eten & Drinken,open_only,
NEKX-SIM-050,50,ff81ea2e-07f4-4291-aa35-8e0a851f1218,Het Pakhuis,independent_local,A,convenience,[NEKX-SIM-050] Convenience idea for Het Pakhuis,sent_only,
NEKX-SIM-051,51,60952139-55ac-497b-86e5-57e0d727c4da,Il Sogno,independent_local,A,convenience,[NEKX-SIM-051] Convenience idea for Il Sogno,sent_only,
NEKX-SIM-052,52,907e8c03-10ea-449f-aa26-7fad29aa5140,Brasserie Groen,independent_local,A,convenience,[NEKX-SIM-052] Convenience idea for Brasserie Groen,sent_only,
NEKX-SIM-053,53,7c50a01c-32fc-4e1a-a4b7-c3ae96915e3a,Fujiyama,independent_local,A,convenience,[NEKX-SIM-053] Convenience idea for Fujiyama,sent_only,
NEKX-SIM-054,54,950882ff-d5b9-4c09-91ed-779bcf77034e,Mahalo,independent_local,B,expertise,[NEKX-SIM-054] Expertise idea for Mahalo,open_and_reply_positive,positive
NEKX-SIM-055,55,cf82253c-bc29-4224-9484-4e04913d6b1e,El Maïda,independent_local,B,expertise,[NEKX-SIM-055] Expertise idea for El Maïda,open_only,
NEKX-SIM-056,56,a5e45c02-fc16-4732-98d1-c7510f0358df,Pernikkel,independent_local,B,expertise,[NEKX-SIM-056] Expertise idea for Pernikkel,open_only,
NEKX-SIM-057,57,3b820431-2ed8-4ce6-8a2b-00553779ae21,Croissanterie Pigalle,independent_local,B,expertise,[NEKX-SIM-057] Expertise idea for Croissanterie Pigalle,open_only,
NEKX-SIM-058,58,81687eed-d80d-46c9-9336-fd5ea203a3f1,Bar Barrie,independent_local,B,expertise,[NEKX-SIM-058] Expertise idea for Bar Barrie,open_only,
NEKX-SIM-059,59,6def3c96-cfaa-4b80-b0b3-af9622dab6a2,Cappuvino,independent_local,B,expertise,[NEKX-SIM-059] Expertise idea for Cappuvino,sent_only,
NEKX-SIM-060,60,d2d29736-9310-40f0-a650-02a8cf883bdc,Grand Café Mr. Bakels,independent_local,B,expertise,[NEKX-SIM-060] Expertise idea for Grand Café Mr. Bakels,sent_only,
NEKX-SIM-061,61,8dc48ae5-c6f6-4924-930b-838fa861e8c3,Kijff,independent_local,B,expertise,[NEKX-SIM-061] Expertise idea for Kijff,sent_only,
NEKX-SIM-062,62,d55cf7fb-5767-41c9-9906-bfc7e8e859cc,Bar Bistro NOK,independent_local,B,expertise,[NEKX-SIM-062] Expertise idea for Bar Bistro NOK,sent_only,
NEKX-SIM-063,63,dc078293-d550-4327-9e84-8386c98030da,Broodje van Eigen Deeg,independent_local,B,expertise,[NEKX-SIM-063] Expertise idea for Broodje van Eigen Deeg,sent_only,
NEKX-SIM-064,64,9b83b39f-07d1-491d-9095-ca8e75e54541,Grand Café Hooghoudt,independent_local,B,expertise,[NEKX-SIM-064] Expertise idea for Grand Café Hooghoudt,sent_only,
